"n","algorithm","missingness","perc_missing","time","precision","recall","f1","shd","time_sd","precision_sd","recall_sd","f1_sd","shd_sd"
100,"EM","MAR",0.3,0.294799999998941,0.497787502246884,0.575027339590807,0.530408386052141,0.851826756433568,0.0174915852780665,0.132043114633784,0.108021338056837,0.115108588849111,0.226088210384155
100,"EM","MCAR",0.3,0.313499999999476,0.518045651048988,0.66562288073124,0.58021700670279,0.780198093272397,0.0360993998097707,0.130166954514991,0.149778918918553,0.134536742476419,0.251185911884669
100,"EM","MNAR",0.3,0.293299999998999,0.462877939796999,0.610528576342818,0.524925467798429,0.893916752665979,0.00875658482382051,0.0897022462970896,0.106964206151245,0.0934585205799856,0.19998799819383
100,"EM","oracle",0.3,0.00949999999793363,0.594974219543185,0.72633035202385,0.649903195666285,0.605256245188134,0.00150923085813678,0.0814437184577383,0.100115440770111,0.0704751529202754,0.126185516213799
100,"FCI","MAR",0.3,7.12889999999898,0.439799236711001,0.427654151719167,0.421325563927019,0.871967123691582,13.1817925812682,0.129011739641288,0.184275008692325,0.151428398842479,0.19492010907466
100,"FCI","MCAR",0.3,5.77520000000077,0.423439407814408,0.391809245335561,0.377056132394478,0.855565171097679,12.8159922475351,0.167426169427265,0.248223236788542,0.207791332793291,0.144265778549796
100,"FCI","MNAR",0.3,6.81420000000216,0.485292207792208,0.475800874735859,0.468744654381863,0.850445525578652,12.5243861220158,0.0995037710067365,0.106521442223259,0.0670140630429092,0.158161283870338
100,"FCI","oracle",0.3,1.21159999999945,0.556720534367593,0.626151227742559,0.586008955887182,0.749063295493636,2.53002095731242,0.0549538748795393,0.120104587456105,0.0769662644873858,0.129684206070135
100,"GES","MAR",0.3,0.0182000000000698,0.073896044515366,0.224404802856815,0.107681051424442,3.51986258128983,0.00656251984159128,0.0364130116501305,0.107031877809333,0.0495369776289875,1.24579379171766
100,"GES","MCAR",0.3,0.00950000000084401,NA,NA,NA,NA,0.00672061505231716,NA,NA,NA,NA
100,"GES","MNAR",0.3,0.0139000000002852,NA,NA,NA,NA,0.00558669053253221,NA,NA,NA,NA
100,"GES","oracle",0.3,0.00989999999947031,0.569956324736122,0.64113220960899,0.599042240827955,0.689589021573542,0.00202484567240628,0.102587730040762,0.0893668335051261,0.0822470056280135,0.157682910913963
100,"GS","MAR",0.3,0.0127999999982421,0.53710594960595,0.433723999541337,0.476940480739645,0.762466968073779,0.00248551358377317,0.12821889804152,0.0957172818470369,0.105292969028183,0.170947521329202
100,"GS","MCAR",0.3,0.013300000000163,0.59479783832725,0.514926794109457,0.544407179762317,0.663315707569578,0.00323350514999527,0.120900790512664,0.170728788427794,0.139251777539673,0.169531857221104
100,"GS","MNAR",0.3,0.0125,0.59909631476195,0.480221239372942,0.525870225550181,0.65975656461415,0.00337474278786284,0.13537577847801,0.116590939202852,0.101188238481363,0.156006014126618
100,"GS","oracle",0.3,0.015499999999156,0.642252525252525,0.661525955411404,0.645909087514769,0.546024685897751,0.00392286743046069,0.094617762811393,0.133486480859174,0.096704749222604,0.13764754507981
100,"HC","MAR",0.3,0.0246999999988475,0.110973321179661,0.558234769931364,0.183559982599323,4.93109759693351,0.00279085808994979,0.0336741246164125,0.10628449426102,0.0498782251361872,1.28362226039783
100,"HC","MCAR",0.3,0.0256000000001222,0.112385486019961,0.559632971317182,0.186558259172696,4.72376940717808,0.00964019363455414,0.0327751023938854,0.0926038560513782,0.0504109905830403,1.05303696696631
100,"HC","MNAR",0.3,0.0245000000009895,0.119244294700213,0.588435172899569,0.19731506507364,4.69914426589349,0.00581664278842362,0.0361813976239457,0.131429133218175,0.0554660419039123,1.08554017143092
100,"HC","oracle",0.3,0.00450000000128057,0.594974219543185,0.72633035202385,0.649903195666285,0.605256245188134,0.00143372087714574,0.0814437184577383,0.100115440770111,0.0704751529202754,0.126185516213799
100,"MMHC","MAR",0.3,0.00959999999977299,0.612678995840761,0.512547086670926,0.554544946141751,0.666194309302668,0.00250333111548339,0.13446342750479,0.120574411583601,0.119017681230842,0.176657459935351
100,"MMHC","MCAR",0.3,0.0114000000008673,0.628047435656131,0.521265418448081,0.563342939335624,0.631577898995856,0.00455094617668214,0.160477131037882,0.144578726225193,0.137820009383634,0.201867283734746
100,"MMHC","MNAR",0.3,0.0106000000014319,0.629722647120009,0.526130342195358,0.571064104211163,0.628036971513752,0.00302581485755024,0.120391534654499,0.0867022768648357,0.0967168828463836,0.125936116386087
100,"MMHC","oracle",0.3,0.010399999999936,0.688084120557805,0.644895080839353,0.662981423589986,0.514606663718119,0.00254732975687077,0.103630617280861,0.127535529405437,0.107824711607813,0.131118998665092
100,"PC","MAR",0.3,0.0127999999982421,0.589476515243779,0.545571707045391,0.564834855913473,0.689971284420201,0.00637355648069274,0.135400692420202,0.144870656512419,0.135435262681655,0.196590054732982
100,"PC","MCAR",0.3,0.0122999999999593,0.619287878787879,0.621798581420872,0.612581803529473,0.655445509197831,0.00742443413551741,0.114157691430596,0.123058061330045,0.0949104717181221,0.214889511977354
100,"PC","MNAR",0.3,0.0121000000006461,0.619319846110127,0.616075908726064,0.613989525623066,0.639059855521156,0.00562632700421405,0.106603959111521,0.111915311503424,0.0992510750436678,0.222701939172537
100,"PC","oracle",0.3,0.0108000000000175,0.757250104565322,0.652310269136894,0.697845727623707,0.449443887496519,0.0057115866655228,0.0434046876799494,0.111457568229202,0.0796735467167082,0.0659689912376713
100,"RSMAX2","MAR",0.3,0.0254999999990105,0.602274579565601,0.510485789637492,0.549270095519088,0.653450112208626,0.00924061084987418,0.162956203362472,0.155113574296093,0.156217175522212,0.214199307536436
100,"RSMAX2","MCAR",0.3,0.022899999999936,0.593554734738945,0.49732642062673,0.536887224750792,0.656043048798467,0.0047714428294691,0.173704842805906,0.163067138675529,0.160733794801663,0.219817565505321
100,"RSMAX2","MNAR",0.3,0.0235000000000582,0.610807264680599,0.501225580290596,0.549332911544458,0.655504922436811,0.00638139657435728,0.114417689837054,0.0914204477095257,0.0981002367382317,0.121697680536289
100,"RSMAX2","oracle",0.3,0.022999999998865,0.710306567071273,0.65203793798221,0.675587218593413,0.481802430913886,0.00312694383948517,0.0751301277284765,0.122647816320998,0.0906895118835557,0.101627669999613
500,"EM","MAR",0.3,1.44150000000009,0.726870831870832,0.816650777269972,0.767116751188478,0.39879805723459,0.0816404719890578,0.113629189187165,0.121585524482268,0.110924054484358,0.184820112650109
500,"EM","MCAR",0.3,1.46640000000043,0.733805235862461,0.848964338951955,0.785092940996558,0.374223991350926,0.0597442698325711,0.109766500425179,0.130437627627291,0.111629196779677,0.175872009516096
500,"EM","MNAR",0.3,1.41580000000104,0.73249512590182,0.822075450063066,0.772502509705112,0.413376840794797,0.0460260795633897,0.15862220139741,0.13974780093843,0.146525924489803,0.25236657303835
500,"EM","oracle",0.3,0.0202999999994063,0.837748506571087,0.902492194538634,0.865546868116026,0.231370583321048,0.00249666444180708,0.0951409400323723,0.078328772968565,0.0695313078730652,0.131925040504679
500,"FCI","MAR",0.3,65.6491999999998,0.494024644945698,0.836007780890134,0.616406346621157,0.836836404737334,158.602562478809,0.0724164720821746,0.125254920735735,0.072912257117869,0.181090158143918
500,"FCI","MCAR",0.3,41.4695000000007,0.530883481348298,0.847489262371615,0.648343373008735,0.781426179828657,39.2851022858681,0.0800856068607574,0.0904473293378004,0.0696709213005226,0.196722242266677
500,"FCI","MNAR",0.3,15.0697999999997,0.512828916654381,0.827614985175357,0.628613390946108,0.808991088833194,18.9043505151584,0.0666566571195879,0.0757503542499601,0.0477717137269061,0.150682916840153
500,"FCI","oracle",0.3,1.48569999999963,0.578555088702148,0.875965452847806,0.693305748991568,0.702525152751159,2.84942778076165,0.0640936078578172,0.0991017038097953,0.0583336175601546,0.154193852424534
