"n","algorithm","missingness","perc_missing","time","precision","recall","f1","shd","time_sd","precision_sd","recall_sd","f1_sd","shd_sd"
1000,"EM","MAR",0.1,1.9273000000001,0.829612972941939,0.90909661408423,0.865629762224689,0.235609333791996,0.099227068439497,0.120896940682227,0.0677270183233226,0.0938645926154643,0.162386944034359
1000,"EM","MAR",0.2,2.5812999999991,0.78131097348488,0.891166789522827,0.83176444667655,0.304370157419693,0.146747742742033,0.104150244450227,0.0753616834975279,0.0888750629638044,0.181295351023858
1000,"EM","MAR",0.3,2.8065000000006,0.758240566989845,0.893811047225908,0.818660820754518,0.349986698773076,0.107060989886752,0.100519634971345,0.113667451552872,0.0974072248158619,0.180479141165532
1000,"EM","MAR",0.4,3.01529999999984,0.703688990350982,0.888354628401068,0.783383270243733,0.426599226825233,0.0989242695757621,0.114473548818899,0.0832097469251343,0.101579931870294,0.214413654710728
1000,"EM","MAR",0.5,3.07110000000066,0.622094539883118,0.829236948580602,0.709328033693004,0.581726260094681,0.0946742367883754,0.114240438528674,0.104471338979125,0.111091058149699,0.249551493328846
1000,"EM","MCAR",0.1,1.85490000000027,0.856431749563006,0.917096761511622,0.884504877986691,0.201121299981981,0.0782097606868025,0.0840189816166292,0.0697499516910418,0.0691868457428315,0.129281819297763
1000,"EM","MCAR",0.2,2.6148000000001,0.836611933642931,0.914953756941373,0.872556071816449,0.224052959195374,0.0932115872626204,0.0792767946115561,0.0517586474423919,0.0577112393694819,0.094223156583368
1000,"EM","MCAR",0.3,2.86100000000042,0.782126835078209,0.908440676855538,0.838351937652183,0.323955886448146,0.150542721880283,0.137692528111837,0.0987204056542113,0.1161436223869,0.261384175706381
1000,"EM","MCAR",0.4,3.01179999999986,0.754915216766031,0.838425901354694,0.792480700186642,0.370965665798483,0.121494215682851,0.113378726461787,0.0858396780671919,0.094818663653618,0.187412295628533
1000,"EM","MCAR",0.5,3.08569999999927,0.724148880019193,0.921403492391109,0.807938818650377,0.38239553131194,0.0678757852419767,0.109019029287675,0.0697767384154019,0.0872809823973825,0.209907170494618
1000,"EM","MNAR",0.1,1.91979999999967,0.851817151855103,0.94350528281488,0.893567035225858,0.178767228528838,0.127761757450056,0.107481121793581,0.0745202386212818,0.086338947738531,0.120071073283751
1000,"EM","MNAR",0.2,2.54499999999971,0.791112070720132,0.927026438645634,0.8518944469411,0.260031516700247,0.0756527153069711,0.0779465551344221,0.0585860672750707,0.0599369480054597,0.120761073206476
1000,"EM","MNAR",0.3,2.83269999999975,0.753819029373231,0.905811047225908,0.820326753798758,0.36274318148312,0.0825820131069471,0.0847545640507964,0.0843686674502997,0.0724081189614405,0.165063874497892
1000,"EM","MNAR",0.4,2.93419999999896,0.735889335955512,0.878772322964273,0.80006841102022,0.355073173128901,0.0778699770992095,0.120705471019834,0.101427853693643,0.111500813295331,0.195607628945223
1000,"EM","MNAR",0.5,3.07819999999883,0.687185546494606,0.838953756941373,0.753236390434428,0.491166904188576,0.103225535169337,0.08249837032174,0.0897839318599208,0.0730320844427731,0.149367996830176
1000,"EM","oracle",0.1,0.0332000000002154,0.872705292228619,0.936838616148214,0.90234502839016,0.154837256540043,0.00551361950090365,0.102205668148675,0.0784117717979386,0.0848772257970256,0.116063379973425
1000,"EM","oracle",0.2,0.0351999999995314,0.872705292228619,0.936838616148214,0.90234502839016,0.154837256540043,0.00649444206877044,0.102205668148675,0.0784117717979386,0.0848772257970256,0.116063379973425
1000,"EM","oracle",0.3,0.0335999999999331,0.872705292228619,0.936838616148214,0.90234502839016,0.154837256540043,0.0056999025334765,0.102205668148675,0.0784117717979386,0.0848772257970256,0.116063379973425
1000,"EM","oracle",0.4,0.0334000000002561,0.872705292228619,0.936838616148214,0.90234502839016,0.154837256540043,0.00527467745220761,0.102205668148675,0.0784117717979386,0.0848772257970256,0.116063379973425
1000,"EM","oracle",0.5,0.0324999999989814,0.872705292228619,0.936838616148214,0.90234502839016,0.154837256540043,0.00579750904436994,0.102205668148675,0.0784117717979386,0.0848772257970256,0.116063379973425
1000,"FCI","MAR",0.1,2.04279999999962,0.556925488297392,0.90636103330221,0.68643210114486,0.730076678624666,4.33775850462539,0.0653255020633123,0.0961621821970506,0.0575859890237991,0.151784915674375
1000,"FCI","MAR",0.2,24.3892999999996,0.545338853314018,0.902525054466231,0.677083071988987,0.746340934034432,38.5432030210542,0.0639541258954388,0.10123327098275,0.0644325863272838,0.160024763701238
1000,"FCI","MAR",0.3,49.5637000000002,0.464367118388858,0.87757267351385,0.603719497364345,0.894667108948843,40.7581792283596,0.0569661544523349,0.0989281956743205,0.0537750448994654,0.177889779912358
1000,"FCI","MAR",0.4,58.1244999999999,0.50552506489039,0.88357267351385,0.640026683847033,0.811929939227153,55.44868987782,0.0572860844354146,0.105308166107369,0.0563761381570721,0.149527748270668
1000,"FCI","MAR",0.5,122.2671,0.472189065384145,0.874653283535637,0.608099809326494,0.887155421232821,101.498824521328,0.0715146902914193,0.111457194095357,0.0678399607262268,0.222915682380309
1000,"FCI","MCAR",0.1,7.3114999999998,0.5587990663466,0.887620292561469,0.683095144242275,0.723572771798778,14.4046441064451,0.0538688456635201,0.119331049740022,0.0631995804241731,0.145382025202802
1000,"FCI","MCAR",0.2,51.2530999999999,0.54859728979311,0.890953625894802,0.674955154640274,0.744198371746359,77.5287536143136,0.0749100545570952,0.117055419947167,0.0699388178847198,0.155687237555094
1000,"FCI","MCAR",0.3,20.0829999999998,0.538867310879695,0.90636103330221,0.672494501802143,0.758017380051436,34.3015189686346,0.0580915849808806,0.0835439500427986,0.0458437296067435,0.122706950034635
1000,"FCI","MCAR",0.4,27.7119999999999,0.493141414141414,0.86167849361967,0.621015815003702,0.847556292692516,21.4731927243664,0.073281894602416,0.123562513454709,0.0680395251758383,0.205623840829297
1000,"FCI","MCAR",0.5,227.1604,0.467150673400673,0.890514472455649,0.608794177888636,0.893333775615509,223.231456147202,0.067412541980582,0.100876485477439,0.0637233207350152,0.187861645821424
1000,"FCI","MNAR",0.1,7.6257999999998,0.552064567054892,0.898953625894802,0.680250315835101,0.736484086032074,15.9162309175955,0.0558044235725125,0.106314607498427,0.0504046968125398,0.142698059065589
1000,"FCI","MNAR",0.2,11.2281000000003,0.531778238755456,0.893071272953626,0.663976059603862,0.768057054400708,16.3296012909754,0.0662944228690259,0.105341748221769,0.0688836108151244,0.173927450671728
1000,"FCI","MNAR",0.3,39.0689999999999,0.505588542337398,0.9108372237784,0.645315781705008,0.81927916195718,72.9953111188207,0.0662939922797154,0.0976482153108122,0.0516175983813717,0.162638049952735
1000,"FCI","MNAR",0.4,123.6093,0.493174748592369,0.888345160286337,0.627714961552417,0.850094288007601,99.1187439646112,0.0840687023095659,0.120688687567931,0.0742308423042359,0.214030111320924
1000,"FCI","MNAR",0.5,171.069299999998,0.474017202921665,0.89066915655151,0.610488623621085,0.906494373187872,191.322854117821,0.0944808939667364,0.119088357089951,0.0878825071855455,0.299927610036985
